Stand  05/09/2019 09:20:19
Stand  05/09/2019 09:20:26
       05/09/2019 09:27:01
Stand  05/09/2019 09:30:29
       05/09/2019 09:34:26
Sit    05/09/2019 09:34:34
Stand  05/09/2019 09:34:42
Idle   05/09/2019 09:35:54
Active 05/09/2019 09:36:27
Sit    05/09/2019 09:39:21
Stand  05/09/2019 09:39:38
Idle   05/09/2019 09:40:08
Sit    05/09/2019 09:40:39
Stand  05/09/2019 09:40:49
Active 05/09/2019 09:40:58
Idle   05/09/2019 09:42:19
Sit    05/09/2019 09:43:20
Stand  05/09/2019 09:43:22
Sit    05/09/2019 09:45:32
Stand  05/09/2019 09:46:17
Sit    05/09/2019 09:46:18
Stand  05/09/2019 09:46:19
Sit    05/09/2019 09:47:28
Stand  05/09/2019 09:47:29
Sit    05/09/2019 09:47:31
Active 05/09/2019 09:47:45
Stand  05/09/2019 09:47:58
Idle   05/09/2019 09:51:11
Active 05/09/2019 09:59:07
Sit    05/09/2019 09:59:49
Stand  05/09/2019 10:00:00
Sit    05/09/2019 10:00:03
Stand  05/09/2019 10:00:04
Sit    05/09/2019 10:00:05
Idle   05/09/2019 10:27:38
Active 05/09/2019 10:28:20
Sit    05/09/2019 10:33:13
Idle   05/09/2019 10:52:21
Active 05/09/2019 10:55:01
       05/09/2019 12:12:31
1      05/09/2019 12:12:57
       05/09/2019 12:13:03
1      05/09/2019 12:13:29
       05/09/2019 12:13:31
1      05/09/2019 12:14:03
       05/09/2019 12:14:05
1      05/09/2019 12:16:08
       05/09/2019 12:16:16
1      05/09/2019 12:16:48
       05/09/2019 12:16:58
       05/09/2019 12:19:29
Idle   05/09/2019 12:19:35
1      05/09/2019 12:19:39
Active 05/09/2019 12:19:47
       05/09/2019 12:19:47
Idle   05/09/2019 12:19:55
Active 05/09/2019 12:19:58
S       05/09/2019 12:20:57
SStand  05/09/2019 12:21:06
IIdle   05/09/2019 12:21:09
SSit    05/09/2019 12:21:12
SStand  05/09/2019 12:21:13
SSit    05/09/2019 12:21:14
IActive 05/09/2019 12:21:16
IIdle   05/09/2019 12:21:26
IActive 05/09/2019 12:21:30
IIdle   05/09/2019 12:21:36
IActive 05/09/2019 12:21:37
IIdle   05/09/2019 12:21:44
IActive 05/09/2019 12:21:49
05/09/2019 12:23:03 S       
05/09/2019 12:23:14 I Idle  
05/09/2019 12:23:18 S 1     
05/09/2019 12:23:20 I Active
05/09/2019 12:23:20 S       
05/09/2019 12:23:41 I Idle  
05/09/2019 12:23:42 I Active
05/09/2019 12:23:49 I Idle  
05/09/2019 12:23:52 S 1     
05/09/2019 12:23:55 I Active
05/09/2019 12:23:55 S       
05/09/2019 12:24:06 I Idle  
05/09/2019 12:24:09 S 1     
05/09/2019 12:24:17 I Active
05/09/2019 12:24:17 S       
05/09/2019 12:24:29 I Idle  
05/09/2019 12:24:33 S 1     
05/09/2019 12:24:43 S 2     
05/09/2019 12:24:52 S 3     
05/09/2019 12:24:56 I Active
05/09/2019 12:24:56 S       
05/09/2019 12:33:04 S Sit   
05/09/2019 12:33:10 I Idle  
05/09/2019 12:33:14 S Stand 
05/09/2019 12:33:18 I Active
05/09/2019 12:33:21 S Sit   
05/09/2019 12:33:26 I Idle  
05/09/2019 12:34:16 I Active
05/09/2019 12:35:01 I Idle  
05/09/2019 12:35:05 I Active
05/09/2019 12:35:51 I Idle  
05/09/2019 12:35:52 I Active
05/09/2019 12:36:13 I Idle  
05/09/2019 12:36:14 I Active
05/09/2019 12:38:53 I Idle  
05/09/2019 12:38:56 I Active
05/09/2019 12:39:14 I Idle  
05/09/2019 12:39:16 I Active
05/09/2019 12:39:37 I Idle  
05/09/2019 12:39:39 I Active
05/09/2019 12:40:29 I Idle  
05/09/2019 12:40:31 I Active
05/09/2019 12:42:08 I Idle  
05/09/2019 12:42:13 I Active
05/09/2019 12:43:04 I Idle  
05/09/2019 12:43:12 I Active
05/09/2019 12:43:44 I Idle  
05/09/2019 12:43:46 I Active
05/09/2019 12:44:01 I Idle  
05/09/2019 12:44:04 I Active
05/09/2019 12:44:33 I Idle  
05/09/2019 12:44:35 I Active
05/09/2019 12:44:44 I Idle  
05/09/2019 12:44:54 I Active
05/09/2019 12:45:23 I Idle  
05/09/2019 12:45:24 S Stand 
05/09/2019 12:45:28 S Sit   
05/09/2019 12:45:31 I Active
05/09/2019 12:45:39 I Idle  
05/09/2019 12:46:00 I Active
05/09/2019 12:46:56 S Sit   
05/09/2019 12:47:47 I Idle  
05/09/2019 12:47:50 I Active
05/09/2019 12:50:59 I Idle  
05/09/2019 12:51:01 I Active
05/09/2019 12:51:10 I Idle  
05/09/2019 12:51:11 I Active
05/09/2019 12:51:24 S Sit   
05/09/2019 12:51:30 I Idle  
05/09/2019 12:52:05 I Active
05/09/2019 12:53:12 I Idle  
05/09/2019 12:53:14 I Active
05/09/2019 12:53:21 I Idle  
05/09/2019 12:53:26 I Active
05/09/2019 12:53:48 I Idle  
05/09/2019 12:53:56 I Active
05/09/2019 12:54:12 I Idle  
05/09/2019 12:54:18 I Active
05/09/2019 12:54:40 I Idle  
05/09/2019 12:54:41 I Active
05/09/2019 12:54:55 I Idle  
05/09/2019 12:54:58 I Active
05/09/2019 12:55:22 I Idle  
05/09/2019 12:55:25 I Active
05/09/2019 12:55:35 I Idle  
05/09/2019 12:55:36 I Active
05/09/2019 12:55:50 I Idle  
05/09/2019 12:55:51 I Active
05/09/2019 12:56:04 I Idle  
05/09/2019 12:56:07 I Active
05/09/2019 12:58:00 I Idle  
05/09/2019 12:58:07 I Active
05/09/2019 12:58:31 I Idle  
05/09/2019 12:58:33 I Active
05/09/2019 12:59:05 I Idle  
05/09/2019 12:59:15 I Active
05/09/2019 12:59:29 I Idle  
05/09/2019 12:59:39 I Active
05/09/2019 12:59:46 I Idle  
05/09/2019 13:00:24 I Active
05/09/2019 13:00:32 I Idle  
05/09/2019 13:00:50 I Active
05/09/2019 13:01:16 I Idle  
05/09/2019 13:01:28 I Active
05/09/2019 13:01:45 I Idle  
05/09/2019 13:02:02 I Active
05/09/2019 13:02:32 I Idle  
05/09/2019 13:02:37 I Active
05/09/2019 13:03:14 I Idle  
05/09/2019 13:03:23 I Active
05/09/2019 13:03:54 I Idle  
05/09/2019 13:04:00 I Active
05/09/2019 13:04:24 I Idle  
05/09/2019 13:04:28 I Active
05/09/2019 13:04:52 S       
05/09/2019 13:05:00 I Idle  
05/09/2019 13:05:01 I Active
05/09/2019 13:05:43 S Sit   
05/09/2019 13:06:31 S Sit   
05/09/2019 13:11:43 I Idle  
05/09/2019 13:15:45 I Active
05/09/2019 13:25:16 S Sit   
05/09/2019 13:52:11 I Idle   300
05/09/2019 13:53:17 I Active 300
05/09/2019 13:55:38 S Stand 
05/09/2019 13:55:40 S Sit   
05/09/2019 13:55:41 S Stand 
05/09/2019 13:55:42 S Sit   
05/09/2019 14:14:37 S Stand 
05/09/2019 14:29:46 S Sit   
05/09/2019 15:09:28 I Idle   300
05/09/2019 15:12:23 I Active 300
05/09/2019 15:59:37 I Idle   300
05/09/2019 16:03:36 I Active 300
05/09/2019 16:20:30 I Idle   300
05/09/2019 16:24:42 I Active 300
05/09/2019 16:24:56 S Stand 
05/09/2019 16:25:03 S Sit   
05/09/2019 16:36:03 I Idle   300
05/10/2019 07:21:00 I Active 300
05/10/2019 07:27:04 S Stand 
05/10/2019 07:29:24 S Sit   
05/10/2019 07:38:25 S Sit
05/10/2019 07:40:28 S Sit
05/10/2019 07:40:34 S Stand
05/10/2019 07:40:37 S Sit
05/10/2019 07:40:38 S Stand
05/10/2019 07:46:06 S Sit
05/10/2019 08:10:48 S Sit
05/10/2019 08:16:08 I Idle   300
05/10/2019 08:16:08 I Idle   300
05/10/2019 08:19:49 I Active 300
05/10/2019 08:19:49 I Active 300
05/10/2019 08:25:03 S Stand
05/10/2019 08:25:04 S Stand
05/10/2019 08:25:10 S Sit
05/10/2019 08:25:10 S Sit
05/10/2019 08:26:16 S Stand
05/10/2019 08:26:16 S Stand
05/10/2019 08:26:17 S 
05/10/2019 08:26:17 S 
05/10/2019 08:26:20 S Stand
05/10/2019 08:26:20 S Stand
05/10/2019 08:26:21 S nd
05/10/2019 08:26:21 S nd
05/10/2019 08:26:22 S Stand
05/10/2019 08:26:22 S Stand
05/10/2019 08:26:25 S Sit
05/10/2019 08:26:25 S Sit
05/10/2019 08:27:12 S Stand
05/10/2019 08:27:12 S Stand
05/10/2019 08:28:32 S Sit
05/10/2019 08:28:32 S Sit
05/10/2019 08:42:24 S Sit
05/10/2019 09:05:41 S Sit
05/10/2019 09:11:50 S Sit
05/10/2019 09:11:53 S Stand
05/10/2019 09:11:54 S Stand
05/10/2019 09:11:57 S Sit
05/10/2019 09:11:58 S Sit
05/10/2019 09:13:57 S 0
05/10/2019 09:13:58 S 0
05/10/2019 09:13:59 S 1
05/10/2019 09:14:00 S 0
05/10/2019 09:14:01 S 1
05/10/2019 09:14:01 S 1
05/10/2019 09:14:02 S 2
05/10/2019 09:14:02 S 2
05/10/2019 09:14:03 S 0
05/10/2019 09:14:03 S 0
05/10/2019 09:14:09 S 1
05/10/2019 09:14:09 S 1
05/10/2019 09:14:10 S Stand
05/10/2019 09:14:10 S Stand
05/10/2019 09:14:14 S Sit
05/10/2019 09:14:14 S Sit
05/10/2019 09:45:10 S Sit
05/10/2019 09:45:17 S Stand
05/10/2019 09:45:20 S Sit
05/10/2019 09:50:35 I Idle   300
05/10/2019 09:55:55 I Active 300
05/10/2019 09:58:40 S Stand
05/10/2019 09:58:45 S Sit
05/10/2019 10:26:24 S Stand
05/10/2019 10:26:26 S Sit
05/10/2019 10:26:27 S Stand
05/10/2019 10:38:11 I Idle   300
05/10/2019 10:40:07 I Active 300
05/10/2019 10:45:14 S Sit
05/10/2019 10:46:45 S Stand
05/10/2019 10:46:55 S Sit
05/10/2019 10:47:03 S Stand
05/10/2019 10:52:30 I Idle   300
05/10/2019 10:56:35 I Active 300
05/10/2019 10:57:36 S Sit
05/10/2019 11:32:41 S Stand
05/10/2019 11:32:43 S Sit
05/10/2019 11:37:47 I Idle   300
05/10/2019 12:28:06 I Active 300
05/10/2019 12:28:25 S Stand
05/10/2019 12:28:33 S Sit
05/10/2019 13:06:06 S Stand
05/10/2019 13:10:58 I Idle   300
05/10/2019 13:32:33 I Active 300
05/10/2019 13:33:43 S Sit
05/10/2019 15:25:43 I Idle   300
05/10/2019 15:29:01 I Active 300
05/10/2019 15:29:33 S Stand
05/10/2019 15:29:36 S Sit
05/10/2019 16:05:50 S Stand
05/10/2019 16:11:13 I Idle   300
05/10/2019 16:17:01 I Active 300
05/11/2019 22:37:38 S Closed
05/11/2019 22:37:41 S Open
05/11/2019 22:38:34 S Sit
05/11/2019 22:38:38 S Stand
05/11/2019 22:53:18 S Sit
05/11/2019 22:53:21 S Stand
05/11/2019 23:08:02 S Stand
05/11/2019 23:08:05 S Sit
05/11/2019 23:08:08 S Stand
05/11/2019 23:08:12 S Sit
05/11/2019 23:08:14 S Stand
05/11/2019 23:08:37 S Sit
05/11/2019 23:08:40 S Stand
05/11/2019 23:16:18 I Idle   300
05/11/2019 23:23:24 I Active 300
05/11/2019 23:23:51 S Sit
05/11/2019 23:23:54 S Stand
05/11/2019 23:25:00 S Sit
05/11/2019 23:25:08 S Stand
